frame_time_s,f_hz,A_total_rms,B_residual_rms,thd_n_residual_over_total
1.050000000000000000e+01,2.240000000000000000e+02,4.166277312017470103e+04,1.380993807358690219e+03,3.314694879707756614e-02
1.059999999999999964e+01,2.290000000000000000e+02,4.166835264333381201e+04,1.384076392078936351e+03,3.321648935647000811e-02
1.069999999999999929e+01,2.350000000000000000e+02,4.167315627948372276e+04,1.399359891969097134e+03,3.357940739079610937e-02
1.079999999999999893e+01,2.400000000000000000e+02,4.167623598851498537e+04,1.402520413618540715e+03,3.365276110839383883e-02
1.089999999999999858e+01,2.460000000000000000e+02,4.167783381824852404e+04,1.382223332495410205e+03,3.316447151555673017e-02
1.099999999999999822e+01,2.520000000000000000e+02,4.167744466931292845e+04,1.350693524074103607e+03,3.240826146591031798e-02
1.109999999999999964e+01,2.570000000000000000e+02,4.167491187051148881e+04,1.337294108905687835e+03,3.208870874306361809e-02
1.119999999999999929e+01,2.630000000000000000e+02,4.167172531020398310e+04,1.353838262188040062e+03,3.248817398631995840e-02
1.129999999999999893e+01,2.700000000000000000e+02,4.166986872497392324e+04,1.373905767727961120e+03,3.297120460820028576e-02
1.139999999999999858e+01,2.760000000000000000e+02,4.167047459310701379e+04,1.367369634032653039e+03,3.281387234929257490e-02
1.149999999999999822e+01,2.820000000000000000e+02,4.167350444748624432e+04,1.343789475062543488e+03,3.224565567208018124e-02
1.159999999999999964e+01,2.890000000000000000e+02,4.167741438812042907e+04,1.335188075169565991e+03,3.203625020342295432e-02
1.169999999999999929e+01,2.950000000000000000e+02,4.167921412177533057e+04,1.343688774155733881e+03,3.223882221554947441e-02
1.179999999999999893e+01,3.020000000000000000e+02,4.167740784384028666e+04,1.356884045004423797e+03,3.255682431327035220e-02
1.189999999999999858e+01,3.090000000000000000e+02,4.167366970017095446e+04,1.376179876748950619e+03,3.302276681295732152e-02
1.199999999999999822e+01,3.170000000000000000e+02,4.167001790591150348e+04,1.399901823673527815e+03,3.359494173567252606e-02
1.209999999999999964e+01,3.240000000000000000e+02,4.166582213742558815e+04,1.400875397383152404e+03,3.362169100522417742e-02
1.219999999999999929e+01,3.310000000000000000e+02,4.166043022180203116e+04,1.357737651449673422e+03,3.259058161956120830e-02
1.229999999999999893e+01,3.390000000000000000e+02,4.165633986826502951e+04,1.287119004714885250e+03,3.089851409858139497e-02
1.239999999999999858e+01,3.470000000000000000e+02,4.165703771548985242e+04,1.237047437322152291e+03,2.969600108800260832e-02
1.249999999999999822e+01,3.550000000000000000e+02,4.166215575694046129e+04,1.236663949647171876e+03,2.968314834359374668e-02
1.259999999999999964e+01,3.630000000000000000e+02,4.166701502133961912e+04,1.263893900416013139e+03,3.033320000889706824e-02
1.269999999999999929e+01,3.720000000000000000e+02,4.166808456986264355e+04,1.286324639231976562e+03,3.087074082023772911e-02
1.279999999999999893e+01,3.810000000000000000e+02,4.166664174698224087e+04,1.297447521870614992e+03,3.113875914812799447e-02
1.289999999999999858e+01,3.900000000000000000e+02,4.166620180756162154e+04,1.306851542469590186e+03,3.136478694423309316e-02
1.299999999999999822e+01,3.990000000000000000e+02,4.166833177364430594e+04,1.324052185658113331e+03,3.177598260594611396e-02
1.309999999999999964e+01,4.080000000000000000e+02,4.167112133617774089e+04,1.346958649885268869e+03,3.232355181946773570e-02
1.319999999999999929e+01,4.170000000000000000e+02,4.167163505817796977e+04,1.360466070735884159e+03,3.264729278888459790e-02
1.329999999999999893e+01,4.270000000000000000e+02,4.166957004540139314e+04,1.364970937397175248e+03,3.275701995268875955e-02
1.339999999999999858e+01,4.370000000000000000e+02,4.166658492789002776e+04,1.366834236425454719e+03,3.280408602699156490e-02
1.349999999999999822e+01,4.470000000000000000e+02,4.166408844795768528e+04,1.360616158651486330e+03,3.265680852110858234e-02
1.359999999999999964e+01,4.580000000000000000e+02,4.166229308958633192e+04,1.342092733899799214e+03,3.221360694222712151e-02
1.369999999999999929e+01,4.680000000000000000e+02,4.166101345656702324e+04,1.318662148914341287e+03,3.165218604893253046e-02
1.379999999999999893e+01,4.790000000000000000e+02,4.166100220651140262e+04,1.306759421524707705e+03,3.136649029822109747e-02
1.389999999999999858e+01,4.900000000000000000e+02,4.166296210282282846e+04,1.309483205887316672e+03,3.143039140269371368e-02
1.399999999999999822e+01,5.020000000000000000e+02,4.166573839223315008e+04,1.317043927498428502e+03,3.160975848069781657e-02
1.409999999999999964e+01,5.140000000000000000e+02,4.166719455429049412e+04,1.327718813679464120e+03,3.186484782289591977e-02
1.419999999999999929e+01,5.250000000000000000e+02,4.166634322233858256e+04,1.347174899004828831e+03,3.233244856204630507e-02
1.429999999999999893e+01,5.380000000000000000e+02,4.166475474687574024e+04,1.373041494775482761e+03,3.295450802763794790e-02
